breed,values
Chesa Bay Retr/Labrador Retriever,3
Bichon Frise/Toy Poodle,3
Pit Bull/Rhod Ridgeback,3
Catahoula/Whippet,3
Flat Coat Retriever/Labrador Retriever,3
Tibetan Spaniel,3
Spinone Italiano Mix,3
Australian Kelpie/Rat Terrier,3
Cocker Spaniel/Dachshund,3
Brittany/Border Collie,3
Australian Cattle Dog/Basenji,3
Catahoula/American Pit Bull Terrier,3
English Coonhound,3
Shih Tzu/Yorkshire Terrier,3
Great Pyrenees/Pointer,3
Staffordshire/Beagle,3
German Shepherd/Black/Tan Hound,3
Belgian Sheepdog Mix,3
Golden Retriever/German Shepherd,3
German Shepherd/Redbone Hound,3
Pug/French Bulldog,2
Chihuahua Longhair/West Highland,2
Lhasa Apso/Cocker Spaniel,2
Tibetan Terrier/Lhasa Apso,2
Chihuahua Shorthair/Toy Fox Terrier,2
Yorkshire Terrier/Havanese,2
Dachshund Wirehair/Cairn Terrier,2
American Foxhound,2
Labrador Retriever/Boston Terrier,2
Boxer/Miniature Poodle,2
Boston Terrier/Pit Bull,2
Dachshund/Parson Russell Terrier,2
Australian Kelpie/Australian Shepherd,2
Dachshund/Basset Hound,2
Turtle,2
Bulldog/Australian Cattle Dog,2
Netherlnd Dwarf,2
Pug/Border Terrier,2
Australian Cattle Dog/Rhod Ridgeback,2
Domestic Shorthair/Siamese,2
Alaskan Malamute/Labrador Retriever,2
Yorkshire Terrier/Shih Tzu,2
Domestic Longhair/Rex,2
Chinese Sharpei/American Bulldog,2
Catahoula/Bulldog,2
Blue Lacy/Weimaraner,2
Heron,2
Labrador Retriever/Border Terrier,2
Australian Kelpie/Miniature Pinscher,2
Chow Chow/Chinese Sharpei,2
American Staffordshire Terrier/Boxer,2
Manchester Terrier/Norfolk Terrier,2
American Pit Bull Terrier/Pit Bull,2
Harrier/Labrador Retriever,2
Australian Kelpie/Dachshund,2
Belgian Tervuren Mix,2
Golden Retriever/Akita,2
Munchkin Shorthair Mix,2
Pekingese/Chihuahua Shorthair,2
Italian Greyhound,2
Akita/Pit Bull,2
Chihuahua Shorthair/Shih Tzu,2
Australian Cattle Dog/Boston Terrier,2
Bengal,2
Belgian Tervuren/German Shepherd,2
Soft Coated Wheaten Terrier/Labrador Retriever,2
Golden Retriever/Beagle,2
Chartreux Mix,2
Chihuahua Shorthair/Pekingese,2
Doberman Pinsch/Australian Cattle Dog,2
Black/Tan Hound/Black Mouth Cur,2
Labrador Retriever/Newfoundland,2
British Shorthair,2
Pembroke Welsh Corgi/German Shepherd,2
West Highland/Toy Fox Terrier,2
Sussex Span Mix,2
Mastiff/Pit Bull,2
Beagle/Queensland Heeler,2
Anatol Shepherd/Akita,2
Labrador Retriever/Bloodhound,2
Mastiff/Labrador Retriever,2
Jack Russell Terrier/Maltese,2
Whippet/Australian Kelpie,2
Pug/Chihuahua Longhair,2
Cinnamon,2
Jack Russell Terrier/Welsh Terrier,2
Boxer/Mastiff,2
Whippet/Chihuahua Shorthair,2
Rottweiler/Doberman Pinsch,2
Chinchilla-Stnd Mix,2
Chihuahua Longhair/Papillon,2
Snowshoe/Ragdoll,2
Jack Russell Terrier/Basenji,2
Miniature Schnauzer/Jack Russell Terrier,2
Yorkshire Terrier/Bruss Griffon,2
Chihuahua Shorthair/Norfolk Terrier,2
Flat Coat Retriever,2
Dogo Argentino/Labrador Retriever,2
Black Mouth Cur/Blue Lacy,2
Bull Terrier/Pit Bull,2
Chihuahua Shorthair/Welsh Terrier,2
Basenji/Chihuahua Longhair,2
Dachshund Wirehair/Norfolk Terrier,2
Dachshund Wirehair/Rat Terrier,2
Beagle/Cardigan Welsh Corgi,2
Great Dane/Anatol Shepherd,2
Shetland Sheepdog/Chihuahua Longhair,2
Border Collie/Queensland Heeler,2
Pit Bull/French Bulldog,2
Australian Cattle Dog/Bloodhound,2
Tibetan Terrier,2
American Eskimo/Border Collie,2
Boston Terrier/Pointer,2
Dachshund/English Foxhound,2
Queensland Heeler/Pointer,2
Beagle/Chinese Sharpei,2
Smooth Fox Terrier/Cardigan Welsh Corgi,2
St. Bernard Smooth Coat,2
Akita/Belgian Malinois,2
Great Pyrenees/Chow Chow,2
Golden Retriever/Dachshund,2
Pointer/Staffordshire,2
Australian Kelpie/American Pit Bull Terrier,2
Catahoula/Australian Shepherd,2
Australian Shepherd/German Shepherd,2
Cairn Terrier/Border Collie,2
Dachshund Longhair/Miniature Schnauzer,2
Conure,2
Muscovy,2
Border Collie/Alaskan Husky,2
Quaker,2
Anatol Shepherd/Australian Cattle Dog,2
West Highland/Cairn Terrier,2
Border Collie/Mastiff,2
Boxer/Pointer,2
Pug/Staffordshire,2
Black Mouth Cur/Dachshund,2
Jindo,2
Border Collie/Basenji,2
Dachshund/Whippet,2
Peafowl Mix,2
Maltese/Shih Tzu,2
Beagle/Cocker Spaniel,2
Papillon/Shih Tzu,2
Boston Terrier/Pembroke Welsh Corgi,2
Bulldog/Pit Bull,2
Miniature Schnauzer/Maltese,2
Catahoula/Anatol Shepherd,2
Jack Russell Terrier/Italian Greyhound,2
Papillon/Chihuahua Shorthair,2
Beagle/Standard Poodle,2
Cairn Terrier/Italian Greyhound,2
Pit Bull/Pit Bull,2
Basenji/Jack Russell Terrier,2
Queensland Heeler/Australian Cattle Dog,2
Dachshund Wirehair/Chihuahua Longhair,2
Dachshund Longhair/Maltese,2
Goat Mix,2
Beagle/Catahoula,2
Lhasa Apso/Cairn Terrier,2
Cairn Terrier/Dachshund Wirehair,2
Catahoula/Staffordshire,2
Jack Russell Terrier/Border Collie,2
Cavalier Span/Chihuahua Shorthair,2
Welsh Terrier,2
Black Mouth Cur/Mastiff,2
Australian Shepherd/Rottweiler,2
Akita/German Shepherd,2
Blue Lacy/Labrador Retriever,2
Japanese Chin,2
Pit Bull/Pug,2
Yorkshire Terrier/Jack Russell Terrier,2
Vizsla/Golden Retriever,2
American Pit Bull Terrier/Boxer,2
Staffordshire/Blue Lacy,2
Queensland Heeler/Dachshund,2
Labrador Retriever/Collie Rough,2
English Foxhound,2
German Shepherd/Great Dane,2
Dachshund Longhair/Chihuahua Longhair,2
Staffordshire/English Bulldog,2
Maltese/Jack Russell Terrier,2
Australian Shepherd/Pit Bull,2
Pekingese/Miniature Poodle,2
Maltese/Border Terrier,2
Shiba Inu/German Shepherd,2
Alaskan Malamute/German Shepherd,2
German Shepherd/Akita,2
Australian Cattle Dog/Queensland Heeler,2
Labrador Retriever/Shiba Inu,2
Scottish Terrier,2
Boxer/Rhod Ridgeback,2
English Shepherd,2
Border Collie/Jack Russell Terrier,2
Golden Retriever/Australian Cattle Dog,2
Dachshund/Belgian Malinois,2
Parrot,2
Pomeranian/Shetland Sheepdog,2
Basset Hound/Border Collie,2
German Shepherd/Nova Scotia Duck Tolling Retriever,2
Newfoundland/Great Pyrenees,2
Chihuahua Shorthair/Chinese Sharpei,2
Carolina Dog/Labrador Retriever,2
Labrador Retriever/Smooth Fox Terrier,2
Bearded Collie,2
Border Collie/Anatol Shepherd,2
Australian Cattle Dog/Parson Russell Terrier,2
Bull Terrier Miniature,2
Samoyed,2
Border Terrier/Miniature Poodle,2
American Bulldog/Pointer,2
Manchester Terrier/Australian Kelpie,2
Finnish Spitz/Chow Chow,2
Beagle/Plott Hound,2
Shih Tzu/Cardigan Welsh Corgi,2
Great Pyrenees/Plott Hound,2
Dachshund/Yorkshire Terrier,2
Labrador Retriever/English Springer Spaniel,2
Jersey Wooly Mix,2
Labrador Retriever/Beauceron,2
Finch,2
Norwich Terrier/Cairn Terrier,2
Boston Terrier/Miniature Schnauzer,2
Cardigan Welsh Corgi/Jack Russell Terrier,2
Lhasa Apso/Miniature Schnauzer,2
Australian Cattle Dog/Siberian Husky,2
Pointer/Harrier,2
Pekingese/Jack Russell Terrier,2
Airedale Terrier/Labrador Retriever,2
Lhasa Apso/Toy Poodle,2
Boxer/Border Collie,2
Cardigan Welsh Corgi/Miniature Pinscher,2
Black Mouth Cur/Labrador Retriever,2
Chinese Sharpei/Great Dane,2
Akita/Border Collie,2
Golden Retriever/Australian Shepherd,2
Beagle/Pit Bull,2
Irish Terrier/Border Terrier,2
Black Mouth Cur/Australian Cattle Dog,2
Belgian Malinois/Australian Shepherd,2
Irish Terrier/Labrador Retriever,2
Field Spaniel/Cocker Spaniel,2
Manchester Terrier/Labrador Retriever,2
Labrador Retriever/Cocker Spaniel,2
Bull Terrier/Boxer,2
Smooth Fox Terrier/Jack Russell Terrier,2
Border Collie/Pembroke Welsh Corgi,2
Toy Poodle/Bichon Frise,2
Siberian Husky/Chinese Sharpei,2
Catahoula/Alaskan Husky,2
Wire Hair Fox Terrier,2
Dogo Argentino,2
Munchkin Longhair Mix,2
Australian Cattle Dog/Anatol Shepherd,2
Staffordshire/Bull Terrier,2
Manx/Domestic Longhair,2
Dachshund/Greyhound,2
Flemish Giant,2
Chihuahua Longhair/Dachshund Longhair,2
Jack Russell Terrier/Dachshund Wirehair,2
Havanese/Miniature Poodle,2
Dachshund Longhair/Cocker Spaniel,2
Pit Bull/Carolina Dog,2
Australian Shepherd/Alaskan Malamute,2
American Pit Bull Terrier/American Pit Bull Terrier,2
Boxer/German Shepherd,2
Pit Bull/Flat Coat Retriever,2
Basset Hound/Australian Shepherd,2
Toy Poodle/Maltese,2
Burmese,2
German Shepherd/Bull Terrier,2
Dachshund/Harrier,2
Manchester Terrier/Pembroke Welsh Corgi,2
Rat Terrier/Australian Cattle Dog,2
Rex,2
Bengal/Domestic Shorthair,2
Labrador Retriever/Pembroke Welsh Corgi,2
Blue Lacy/Pointer,2
Rat Terrier/Labrador Retriever,2
Basset Hound/Boxer,2
Picardy Sheepdog,2
Golden Retriever/Pembroke Welsh Corgi,2
Belgian Malinois/Treeing Cur,2
Standard Schnauzer/German Shepherd,2
Devon Rex,2
Yorkshire Terrier/Pomeranian,2
Pointer/Jack Russell Terrier,2
Black Mouth Cur/Basset Hound,2
Dalmatian/Australian Cattle Dog,2
Gordon Setter Mix,2
Chihuahua Shorthair/French Bulldog,2
Miniature Schnauzer/Shih Tzu,2
Labrador Retriever/Alaskan Husky,2
Harlequin Mix,2
Chihuahua Longhair/Dachshund Wirehair,2
Pit Bull/Rat Terrier,2
Rex-Mini,2
Yorkshire Terrier/Norfolk Terrier,2
Dachshund/Bull Terrier,2
Border Terrier/Rat Terrier,2
Vizsla/Dachshund,2
Australian Kelpie/Catahoula,2
St. Bernard Smooth Coat/Anatol Shepherd,2
Rottweiler/Rhod Ridgeback,2
Chihuahua Shorthair/Finnish Spitz,2
German Wirehaired Pointer/Labrador Retriever,2
Australian Cattle Dog/Collie Smooth,2
West Highland/Miniature Poodle,2
Siberian Husky/American Pit Bull Terrier,2
Domestic Medium Hair/Maine Coon,2
Canaan Dog/Redbone Hound,2
Pug/Italian Greyhound,2
Australian Shepherd/Nova Scotia Duck Tolling Retriever,2
Plott Hound/Blue Lacy,2
Plott Hound/Rhod Ridgeback,2
Australian Cattle Dog/Dalmatian,2
Tibetan Spaniel/Beagle,2
Yorkshire Terrier/Toy Poodle,2
Collie Rough/Australian Shepherd,2
Basenji,2
Plott Hound/Australian Cattle Dog,2
Yorkshire Terrier/Lhasa Apso,2
Redbone Hound/Dachshund,2
Catahoula/Harrier,2
Blue Lacy/Beagle,2
Silky Terrier,2
Scottish Fold Mix,2
Collie Rough/Chinese Sharpei,2
Plott Hound/Bull Terrier,2
Pointer/Anatol Shepherd,2
Birman Mix,2
Pug/Pekingese,2
Welsh Springer Spaniel,2
Australian Kelpie/German Shepherd,2
Beauceron,2
Anatol Shepherd/Pit Bull,2
Port Water Dog Mix,2
Collie Rough/Labrador Retriever,2
Boxer/Boston Terrier,2
American Pit Bull Terrier/Catahoula,2
Javanese Mix,2
Border Collie/Beagle,2
Old English Sheepdog,2
Shetland Sheepdog/Border Collie,2
Italian Greyhound/Chihuahua Shorthair,2
Border Collie/Greyhound,2
Shih Tzu/Bruss Griffon,2
Lowchen/Yorkshire Terrier,2
Chow Chow/Siberian Husky,2
English Bulldog/Boxer,2
Rhod Ridgeback/Boxer,2
Angora-English Mix,2
Turkish Van Mix,2
Treeing Walker Coonhound/Labrador Retriever,2
Soft Coated Wheaten Terrier/Yorkshire Terrier,2
Chihuahua Shorthair/Cocker Spaniel,2
Bruss Griffon/Dachshund,2
Cardigan Welsh Corgi/Dachshund,2
Miniature Schnauzer/Chihuahua Longhair,2
Muscovy Mix,2
Cardigan Welsh Corgi/Australian Shepherd,2
Catahoula/Rottweiler,2
Pbgv/Jack Russell Terrier,2
Staffordshire/Boston Terrier,2
Australian Cattle Dog/Cairn Terrier,2
Collie Rough,2
Pit Bull/English Bulldog,2
Pembroke Welsh Corgi/Dachshund,1
Cocker Spaniel/Toy Poodle,1
Swedish Vallhund/Miniature Poodle,1
Siberian Husky/Australian Shepherd,1
English Bulldog/Dachshund,1
Wire Hair Fox Terrier/Miniature Schnauzer,1
English Coonhound/Border Collie,1
Bluetick Hound/Great Pyrenees,1
Saluki/Doberman Pinsch,1
Pomeranian/Jack Russell Terrier,1
Labrador Retriever/Patterdale Terr,1
West Highland/Chihuahua Shorthair,1
Catbird Mix,1
Maltese/Yorkshire,1
Whippet/Anatol Shepherd,1
Plott Hound/German Shepherd,1
Bruss Griffon/Yorkshire Terrier,1
African Mix,1
Great Dane/Australian Shepherd,1
Hedgehog,1
Dachshund Wirehair/Standard Poodle,1
Pit Bull/Siberian Husky,1
Labrador Retriever/Pug,1
Cairn Terrier/West Highland,1
Siamese/Angora,1
English Pointer/Boxer,1
Pomeranian/Schipperke,1
Maltese/Cocker Spaniel,1
English Foxhound/Labrador Retriever,1
Shiba Inu/Siberian Husky,1
Harrier/Pit Bull,1
Yorkshire Terrier/Yorkshire Terrier,1
Chihuahua Longhair/Cocker Spaniel,1
Beagle/Whippet,1
Manx/Siamese,1
Labrador Retriever/Chihuahua Shorthair,1
Mockingbird,1
Smooth Fox Terrier/Basenji,1
Doberman Pinsch/Border Collie,1
Australian Kelpie/Australian Cattle Dog,1
Great Pyrenees/Boxer,1
Pug/Schipperke,1
Shih Tzu/Pug,1
Bluetick Hound/Australian Kelpie,1
Jack Russell Terrier/Unknown,1
Boxer/Queensland Heeler,1
Beagle/Mastiff,1
Chinese Sharpei/Australian Cattle Dog,1
Border Collie/Pomeranian,1
Border Collie/Siberian Husky,1
Manchester Terrier,1
Pointer/Australian Kelpie,1
Siberian Husky/Rottweiler,1
Dogo Argentino/Pit Bull,1
Angora-French Mix,1
Rex-Mini Mix,1
Domestic Longhair/Domestic Longhair,1
Maltese/Dalmatian,1
Pointer/Bull Terrier,1
Basset Hound/Beauceron,1
Alaskan Husky/Border Collie,1
Dachshund Wirehair/Yorkshire Terrier,1
Chihuahua Shorthair/Cirneco,1
Afghan Hound Mix,1
Australian Cattle Dog/American Pit Bull Terrier,1
Labrador Retriever/Alaskan Malamute,1
Norfolk Terrier/Bruss Griffon,1
Jack Russell Terrier/Basset Hound,1
Boston Terrier/Labrador Retriever,1
Pharaoh Hound/Border Collie,1
Miniature Poodle/Beagle,1
American Eskimo/Alaskan Husky,1
Catahoula/Queensland Heeler,1
Dachshund Longhair/Tibetan Spaniel,1
Shetland Sheepdog/Brittany,1
Chihuahua Longhair/Miniature Poodle,1
Great Dane/Boerboel,1
Dachshund/Blue Lacy,1
Siberian Husky/Cardigan Welsh Corgi,1
Collie Smooth/Siberian Husky,1
Mastiff/Bloodhound,1
Pomeranian/American Eskimo,1
American Sable,1
Rex-Mini/Lop-English,1
Miniature Schnauzer/Border Collie,1
Jack Russell Terrier/Cardigan Welsh Corgi,1
Basset Hound/Great Pyrenees,1
Doberman Pinsch/Black/Tan Hound,1
Domestic Shorthair/British Shorthair,1
Dachshund Longhair/Miniature Poodle,1
Rabbit Sh/Lop-Mini,1
Mastiff/American Pit Bull Terrier,1
Boxer/Great Pyrenees,1
Norwich Terrier/Pug,1
Collie Rough/Pointer,1
Staffordshire/Basset Hound,1
American Bulldog/Great Pyrenees,1
Collie Rough/Golden Retriever,1
Boxer/Neapolitan Mastiff,1
Miniature Schnauzer/Soft Coated Wheaten Terrier,1
Beagle/Border Terrier,1
Miniature Schnauzer/Queensland Heeler,1
Border Collie/German Shorthair Pointer,1
Pug/Pomeranian,1
Black Mouth Cur/Staffordshire,1
Cairn Terrier/Affenpinscher,1
Border Terrier/Shih Tzu,1
Chihuahua Shorthair/Border Collie,1
Whippet/Catahoula,1
Chihuahua Shorthair/Papillon,1
Plott Hound/Beagle,1
Shih Tzu/Chihuahua Longhair,1
Pointer/Blue Lacy,1
Miniature Poodle/Pomeranian,1
Australian Shepherd/Dalmatian,1
American Sable Mix,1
Soft Coated Wheaten Terrier/Boxer,1
St. Bernard Rough Coat/Standard Schnauzer,1
Irish Wolfhound/Great Dane,1
Great Pyrenees/English Setter,1
Mastiff/German Shepherd,1
English Coonhound/Beagle,1
English Springer Spaniel/Cardigan Welsh Corgi,1
Akita/Labrador Retriever,1
Lhasa Apso/West Highland,1
Belgian Malinois/German Shepherd,1
Pembroke Welsh Corgi/Basset Hound,1
Bouv Flandres/Otterhound,1
Papillon/Pomeranian,1
Rat Terrier/Basenji,1
Bruss Griffon/Maltese,1
Landseer,1
Chinese Sharpei/Chow Chow,1
Golden Retriever/Catahoula,1
Nova Scotia Duck Tolling Retriever/Border Collie,1
Chihuahua Shorthair/Labrador Retriever,1
German Shepherd/Basenji,1
Plott Hound/Rottweiler,1
German Shepherd/Greyhound,1
Standard Schnauzer/Toy Poodle,1
Irish Setter Mix,1
Dalmatian/Basset Hound,1
English Springer Spaniel/Labrador Retriever,1
Chesa Bay Retr,1
Border Terrier/Chihuahua Longhair,1
Boxer/Plott Hound,1
American Pit Bull Terrier/Chinese Sharpei,1
Neapolitan Mastiff/Pit Bull,1
Beagle/Australian Kelpie,1
Labrador Retriever/Spanish Water Dog,1
Domestic Shorthair/Domestic Shorthair,1
Golden Retriever/Pit Bull,1
Dalmatian/Boxer,1
Plott Hound/Mastiff,1
Standard Poodle/Whippet,1
Toy Fox Terrier/Yorkshire Terrier,1
Dachshund Wirehair/Pbgv,1
Plott Hound/Dachshund,1
English Bulldog/Beagle,1
Chihuahua Shorthair/Queensland Heeler,1
Australian Shepherd/English Setter,1
Chow Chow/Pekingese,1
Newfoundland/Australian Cattle Dog,1
Whippet/Treeing Cur,1
Blue Lacy/Australian Cattle Dog,1
Jack Russell Terrier/Shetland Sheepdog,1
Vulture Mix,1
Boxer/Greyhound,1
Miniature Poodle/Havanese,1
Treeing Walker Coonhound/Dachshund,1
Leonberger/German Shepherd,1
Great Pyrenees/Kuvasz,1
Chihuahua Longhair/Pug,1
Chihuahua Shorthair/Shetland Sheepdog,1
Rhod Ridgeback/Plott Hound,1
West Highland/Maltese,1
Miniature Schnauzer/Whippet,1
Whippet,1
Australian Cattle Dog/Collie Rough,1
Rottweiler/Australian Shepherd,1
Black/Tan Hound/Great Dane,1
Flat Coat Retriever/Australian Cattle Dog,1
Labrador Retriever/St. Bernard Smooth Coat,1
German Shepherd/Beagle,1
Scottish Terrier/Cairn Terrier,1
Shetland Sheepdog/Keeshond,1
Dandie Dinmont Mix,1
Whippet/Plott Hound,1
Boxer/Doberman Pinsch,1
Siberian Husky/Anatol Shepherd,1
Chow Chow/American Eskimo,1
Pit Bull/Bull Terrier,1
Hawk Mix,1
American Bulldog/Blue Lacy,1
Mouse Mix,1
Rottweiler/English Bulldog,1
Miniature Schnauzer/Border Terrier,1
Snake/Snake,1
Lhasa Apso/Jack Russell Terrier,1
English Bulldog/Cairn Terrier,1
Basenji/Chow Chow,1
Labrador Retriever/American Staffordshire Terrier,1
Dachshund/American Staffordshire Terrier,1
Hovawart Mix,1
Harrier/Pointer,1
Border Collie/Canaan Dog,1
Border Collie/Dalmatian,1
Great Pyrenees/Siberian Husky,1
Guinea Mix,1
Australian Shepherd/Field Spaniel,1
English Bulldog/Pit Bull,1
Beagle/American Staffordshire Terrier,1
Queensland Heeler/Border Collie,1
Schnauzer Giant/Labrador Retriever,1
Sugar Glider,1
Chihuahua Longhair/Norfolk Terrier,1
Lowchen/Miniature Poodle,1
Shiba Inu/Dachshund,1
Unknown Mix,1
Treeing Walker Coonhound/Plott Hound,1
Miniature Poodle/American Eskimo,1
Jack Russell Terrier/Australian Shepherd,1
Maltese/Lhasa Apso,1
Collie Smooth/Golden Retriever,1
Pit Bull/Doberman Pinsch,1
Yorkshire Terrier/Australian Terrier,1
Doberman Pinsch/Rottweiler,1
Cavalier Span/Toy Poodle,1
Queensland Heeler/Basset Hound,1
Cardigan Welsh Corgi/Labrador Retriever,1
Pembroke Welsh Corgi/Golden Retriever,1
Pomeranian/Cocker Spaniel,1
Chow Chow/Border Collie,1
Border Collie/Doberman Pinsch,1
Lhasa Apso/Havanese,1
Rat Terrier/Pembroke Welsh Corgi,1
Miniature Pinscher/Pomeranian,1
Border Terrier/Dachshund Wirehair,1
Yorkshire Terrier/Parson Russell Terrier,1
Alaskan Malamute/Australian Kelpie,1
Siberian Husky/Great Pyrenees,1
Miniature Schnauzer/Standard Poodle,1
Dachshund Longhair/Australian Shepherd,1
Dachshund/Swedish Vallhund,1
Dutch Shepherd/Mastiff,1
Akita/Great Pyrenees,1
Golden Retriever/Brittany,1
Miniature Schnauzer/Lhasa Apso,1
Whippet/Jack Russell Terrier,1
Dutch/Rabbit Sh,1
Boxer/Whippet,1
Welsh Springer Spaniel/Labrador Retriever,1
Miniature Poodle/West Highland,1
Basset Hound/English Cocker Spaniel,1
Basset Hound/French Bulldog,1
Catahoula/Irish Wolfhound,1
Beagle/Chihuahua Longhair,1
Pointer/German Shorthair Pointer,1
Maltese/Border Collie,1
Manchester Terrier/Toy Fox Terrier,1
Rhod Ridgeback/Australian Cattle Dog,1
Rhod Ridgeback/Mastiff,1
Miniature Schnauzer/West Highland,1
Queensland Heeler/Great Dane,1
Conure Mix,1
Australian Cattle Dog/Vizsla,1
Basset Hound/English Pointer,1
Chinese Sharpei/Rat Terrier,1
American Wirehair Mix,1
Lhasa Apso/Pekingese,1
Miniature Pinscher/Yorkshire Terrier,1
Papillon/Border Collie,1
English Coonhound/Italian Greyhound,1
Collie Rough/Keeshond,1
Dogue De Bordeaux/American Bulldog,1
Rat Terrier/Pointer,1
Pit Bull/Belgian Malinois,1
Mastiff/Dutch Shepherd,1
Pointer/Chinese Sharpei,1
Miniature Schnauzer/Australian Cattle Dog,1
English Coonhound/German Shepherd,1
Australian Shepherd/Standard Poodle,1
Shetland Sheepdog/Italian Greyhound,1
Redbone Hound/Anatol Shepherd,1
Chihuahua Shorthair/Parson Russell Terrier,1
Silkie Mix,1
Norwegian Elkhound Mix,1
Dutch Shepherd/Boxer,1
Great Pyrenees/Queensland Heeler,1
Boxer/Redbone Hound,1
Collie Smooth/Miniature Poodle,1
Toy Poodle/Cocker Spaniel,1
Vizsla/Boxer,1
Dachshund/Pomeranian,1
Queensland Heeler/German Shepherd,1
Dachshund Longhair/Toy Poodle,1
Chow Chow/Cardigan Welsh Corgi,1
Leghorn Mix,1
Chihuahua Shorthair/Shiba Inu,1
Australian Cattle Dog/American Foxhound,1
Labrador Retriever/Saluki,1
Pit Bull/Cardigan Welsh Corgi,1
Treeing Walker Coonhound/Australian Cattle Dog,1
Treeing Tennesse Brindle,1
Mastiff/Akita,1
Chinese Crested/Chihuahua Longhair,1
Cane Corso/Mastiff,1
English Bulldog/American Bulldog,1
German Pinscher/Whippet,1
American Foxhound/Pointer,1
Soft Coated Wheaten Terrier/Standard Poodle,1
Whippet/Whippet,1
Labrador Retriever/Harrier,1
Greater Swiss Mountain Dog,1
Jack Russell Terrier/Whippet,1
Australian Shepherd/Greyhound,1
Toy Fox Terrier/Dachshund,1
Collie Smooth/Jack Russell Terrier,1
Dachshund/Chinese Sharpei,1
Rottweiler/Blue Lacy,1
Lakeland Terrier Mix,1
Chihuahua Longhair/Italian Greyhound,1
Basset Hound/Black/Tan Hound,1
Irish Terrier/Irish Wolfhound,1
Cardigan Welsh Corgi/English Setter,1
Queensland Heeler/Labrador Retriever,1
Golden Retriever/Whippet,1
Domestic Medium Hair/Manx,1
Dutch,1
Whippet/German Shepherd,1
Jack Russell Terrier/Papillon,1
Jack Russell Terrier/Standard Schnauzer,1
Wire Hair Fox Terrier/German Shepherd,1
Boston Terrier/Australian Kelpie,1
Otter Mix,1
Pomeranian/Border Terrier,1
Smooth Fox Terrier/Rat Terrier,1
Cocker Spaniel/Standard Poodle,1
Akita/Mastiff,1
Border Terrier/Miniature Schnauzer,1
Labrador Retriever/Finnish Spitz,1
Boykin Span/Dachshund,1
Flat Coat Retriever/Chow Chow,1
St. Bernard Rough Coat/Great Pyrenees,1
Chinese Sharpei/Basset Hound,1
Bull Terrier/Jack Russell Terrier,1
Jindo/Shiba Inu,1
Australian Cattle Dog/Australian Kelpie,1
Vizsla/Pointer,1
American Pit Bull Terrier/Pointer,1
Lhasa Apso/Pbgv,1
Cairn Terrier/Shih Tzu,1
Cavalier Span/Papillon,1
Catahoula/Black Mouth Cur,1
Boxer/Jack Russell Terrier,1
Chow Chow/English Cocker Spaniel,1
Dandie Dinmont,1
Australian Shepherd/Jack Russell Terrier,1
Beagle/Boston Terrier,1
American Staffordshire Terrier/Plott Hound,1
Australian Cattle Dog/Golden Retriever,1
Chihuahua Longhair/Border Terrier,1
Australian Cattle Dog/Whippet,1
Anatol Shepherd/German Shorthair Pointer,1
Pointer/Dalmatian,1
Border Terrier/Border Collie,1
Beagle/Cavalier Span,1
Dachshund/Boxer,1
Catahoula/Chow Chow,1
Dachshund/Wire Hair Fox Terrier,1
Siberian Husky/Catahoula,1
Dachshund/Pembroke Welsh Corgi,1
Miniature Pinscher/Australian Cattle Dog,1
Australian Shepherd/Dachshund,1
Chihuahua Longhair/Queensland Heeler,1
Queensland Heeler/Shetland Sheepdog,1
Boxer/Bullmastiff,1
Whippet/Borzoi,1
Miniature Poodle/Golden Retriever,1
Pembroke Welsh Corgi/Anatol Shepherd,1
Newfoundland/Border Collie,1
Pembroke Welsh Corgi/Chinese Sharpei,1
Dachshund Wirehair/West Highland,1
Whippet/Shetland Sheepdog,1
Carolina Dog/Border Collie,1
Maltese/Dachshund,1
American Foxhound/Labrador Retriever,1
Basset Hound/Golden Retriever,1
Norfolk Terrier/Dachshund,1
German Shepherd/Whippet,1
Border Collie/American Staffordshire Terrier,1
Dogue De Bordeaux/Labrador Retriever,1
Canaan Dog/English Springer Spaniel,1
Yorkshire Terrier/Standard Poodle,1
Dalmatian/Pointer,1
Border Collie/Rottweiler,1
Pointer/Rhod Ridgeback,1
Chihuahua Shorthair/Lhasa Apso,1
Catahoula/Doberman Pinsch,1
Australian Cattle Dog/Rat Terrier,1
Cavalier Span/Border Collie,1
Pharaoh Hound/Australian Cattle Dog,1
Whippet/Beagle,1
Pembroke Welsh Corgi/Australian Shepherd,1
Smooth Fox Terrier/Chihuahua Shorthair,1
Miniature Poodle/Jack Russell Terrier,1
Pointer/Ibizan Hound,1
Chinese Sharpei/Pointer,1
Pekingese/Pug,1
German Shepherd/English Coonhound,1
Soft Coated Wheaten Terrier/Miniature Poodle,1
Jack Russell Terrier/Boston Terrier,1
Golden Retriever/Bearded Collie,1
Border Terrier/Labrador Retriever,1
Chihuahua Shorthair/Rhod Ridgeback,1
Alaskan Malamute/Akita,1
Goose Mix,1
Catahoula/Mastiff,1
Border Collie/Great Dane,1
Pit Bull/Jack Russell Terrier,1
Miniature Schnauzer/Dachshund,1
Vizsla/Staffordshire,1
Miniature Pinscher/Smooth Fox Terrier,1
Standard Schnauzer/Border Terrier,1
Rat Terrier/Pug,1
Beagle/Black Mouth Cur,1
Jack Russell Terrier/Cavalier Span,1
Rhod Ridgeback/Harrier,1
Boxer/Bulldog,1
